iter	MultiClass
0	1.071872896
1	1.05144178
2	1.034886046
3	1.021343076
4	1.009327359
5	0.9994344634
6	0.9912666753
7	0.9844980398
8	0.9786591198
9	0.9723790207
10	0.9672862933
11	0.9635087173
12	0.9601830833
13	0.9571851922
14	0.9545946665
15	0.9524817986
16	0.9502300862
17	0.947564189
18	0.9449900185
19	0.9434771419
20	0.9424738627
21	0.9398262981
22	0.9382158422
23	0.9365379858
24	0.9351716318
25	0.9333930924
26	0.9317531116
27	0.9301422204
28	0.9290600468
29	0.9275187574
30	0.9263533796
31	0.9253665555
32	0.9243567499
33	0.9234325662
34	0.9223057311
35	0.921534948
36	0.9203887568
37	0.9195116043
38	0.9189059803
39	0.9182821875
40	0.9173191295
41	0.9170000618
42	0.9165474925
43	0.9159457662
44	0.9153837233
45	0.9147294043
46	0.913890598
47	0.9127739815
48	0.9118606886
49	0.911146343
50	0.9104864586
51	0.9093897701
52	0.9085518938
53	0.9078805753
54	0.9073758869
55	0.9068645418
56	0.9061872027
57	0.9053822866
58	0.9046640373
59	0.9041821003
60	0.9038917581
61	0.9034692169
62	0.9031150586
63	0.9020278959
64	0.9018916236
65	0.9014300718
66	0.9008788175
67	0.8999201308
68	0.8992689452
69	0.8987488151
70	0.8984629508
71	0.8978851731
72	0.8974415984
73	0.8972663296
74	0.8969922521
75	0.8963144825
76	0.895916107
77	0.8954134841
78	0.8948182321
79	0.8943294765
80	0.8939753541
81	0.8932789091
82	0.8926220487
83	0.8922949447
84	0.891714555
85	0.8909514086
86	0.8903204837
87	0.8900497212
88	0.8897165295
89	0.8892986506
90	0.8888901991
91	0.8886029486
92	0.8884035899
93	0.8880329417
94	0.8877907594
95	0.8874467726
96	0.8869976673
97	0.886254218
98	0.8854498141
99	0.8850794345
100	0.8848379665
101	0.8844829109
102	0.8840287031
103	0.8836005481
104	0.8833380458
105	0.8828825808
106	0.8826510549
107	0.8819337668
108	0.8814105835
109	0.8811172171
110	0.8805917153
111	0.8801632455
112	0.879934846
113	0.8795911041
114	0.8792444216
