iter	Passed	Remaining
0	134	134029
1	205	102664
2	268	89127
3	322	80355
4	388	77358
5	475	78723
6	542	77018
7	604	74948
8	665	73294
9	786	77825
10	854	76858
11	922	75988
12	1001	76043
13	1079	76026
14	1151	75631
15	1220	75053
16	1303	75346
17	1416	77290
18	1516	78295
19	1570	76942
20	1623	75673
21	1687	75003
22	1776	75480
23	1843	74986
24	1909	74452
25	1970	73808
26	2046	73764
27	2120	73599
28	2183	73097
29	2249	72745
30	2346	73347
31	2412	72985
32	2482	72741
33	2546	72363
34	2609	71948
35	2676	71669
36	2769	72079
37	2832	71714
38	2896	71366
39	2963	71123
40	3038	71077
41	3103	70794
42	3172	70605
43	3274	71142
44	3359	71298
45	3439	71323
46	3531	71615
47	3611	71623
48	3675	71338
49	3743	71123
50	3813	70952
51	3878	70714
52	3938	70378
53	4008	70214
54	4067	69879
55	4124	69532
56	4185	69249
57	4262	69221
58	4321	68921
59	4383	68670
60	4449	68496
61	4553	68894
62	4618	68686
63	4686	68542
64	4753	68380
65	4828	68333
66	4905	68313
67	4975	68193
68	5045	68084
69	5101	67779
70	5155	67456
71	5234	67467
72	5290	67184
73	5344	66883
74	5396	66562
75	5468	66487
76	5529	66277
77	5588	66063
78	5649	65868
79	5736	65973
80	5793	65725
81	5857	65570
82	5929	65511
83	6006	65494
84	6063	65277
85	6122	65073
86	6183	64893
87	6252	64799
88	6317	64669
89	6403	64749
90	6500	64934
91	6554	64693
92	6607	64445
93	6668	64269
94	6736	64175
95	6793	63972
96	6855	63817
97	6918	63681
98	6996	63679
99	7065	63588
100	7144	63595
101	7211	63493
102	7282	63421
103	7341	63249
104	7400	63078
105	7475	63045
106	7529	62843
107	7586	62655
108	7643	62483
109	7723	62491
110	7778	62294
111	7834	62113
112	7888	61919
113	7967	61924
114	8024	61752
115	8092	61667
116	8153	61532
117	8238	61578
118	8299	61445
119	8364	61337
120	8431	61248
121	8506	61220
122	8564	61064
123	8632	60985
124	8765	61361
125	8822	61196
126	8878	61033
127	8935	60875
128	9009	60830
129	9068	60686
130	9130	60566
131	9183	60388
132	9260	60366
133	9322	60246
134	9388	60156
135	9452	60053
136	9539	60090
137	9612	60042
138	9695	60054
